step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.66427235925349,0,0.0,0.8826441177901173,0,0.0
10.0,0,0.0,0.0,12.51192518560857,0,0.0,0.8780564028796608,0,0.0
15.0,5,7.0,0.3888888888888889,6.316988698460246,5,7.0,0.37736540890497605,5,7.0
20.0,9,48.0,2.6666666666666665,6.35129634529488,9,48.0,0.3462860423775646,9,48.0
25.0,8,71.0,3.227272727272727,5.078330365091117,8,71.0,0.3029787651248674,8,71.0
30.0,11,121.0,5.761904761904762,5.413135836063757,11,121.0,0.2834955573443481,11,121.0
35.0,6,94.0,3.76,6.007726442070548,6,133.0,0.31687314437553366,6,133.0
40.0,6,106.0,3.925925925925926,7.903463367487267,6,121.0,0.4891188566741475,6,121.0
45.0,6,136.0,4.387096774193548,10.059579004969866,6,136.0,0.5788994060986359,6,136.0
50.0,9,169.0,6.035714285714286,7.230664185147096,9,169.0,0.3267160674264837,9,169.0
55.0,12,229.0,8.481481481481481,6.747460868507612,12,229.0,0.32925422476651195,12,229.0
60.0,12,289.0,13.136363636363637,5.400723349678452,12,289.0,0.29116288982335575,12,289.0
65.0,8,264.0,10.153846153846153,5.3959834639275215,8,294.0,0.3463183721290494,8,294.0
70.0,12,316.0,13.166666666666666,5.864451319286232,12,316.0,0.2876537434577498,12,316.0
75.0,13,377.0,10.472222222222221,6.751061934820452,13,377.0,0.4023405970634895,13,377.0
80.0,10,127.0,3.96875,6.624990326158384,10,313.0,0.4478904991755156,10,313.0
85.0,8,107.0,3.057142857142857,6.012969319271862,8,167.0,0.333639381526979,8,167.0
90.0,10,54.0,1.588235294117647,5.8638271851198605,10,123.0,0.24734580208697363,10,123.0
95.0,8,54.0,1.6363636363636365,5.905588528861887,8,96.0,0.2647748316804112,8,96.0
100.0,8,69.0,2.15625,5.930070151644083,8,123.0,0.2942165212364532,8,123.0
105.0,15,130.0,3.9393939393939394,4.861739914360116,15,172.0,0.20763675926181888,15,172.0
110.0,15,160.0,4.444444444444445,5.077683504624149,15,207.0,0.30477207696702036,15,207.0
115.0,8,165.0,4.852941176470588,5.978644466694821,8,213.0,0.3596215941726862,8,213.0
120.0,8,205.0,5.694444444444445,7.60899940330096,8,215.0,0.39995805094803805,8,215.0
125.0,13,259.0,7.194444444444445,7.871621902433516,13,259.0,0.3624164297814644,13,259.0
130.0,14,328.0,10.580645161290322,6.5466475225002405,14,328.0,0.21055403130230643,14,328.0
135.0,10,181.0,5.838709677419355,6.5269764219814945,10,302.0,0.3151094676386284,10,302.0
140.0,9,181.0,6.464285714285714,6.733195744841964,9,205.0,0.3181223815413323,9,205.0
145.0,7,206.0,6.4375,6.953104452268802,7,237.0,0.39109926676958096,7,237.0
150.0,11,256.0,7.529411764705882,8.179015006666091,11,280.0,0.4819408643553444,11,280.0
155.0,6,264.0,8.516129032258064,7.818448903926906,6,288.0,0.43079711321793174,6,288.0
160.0,13,309.0,9.65625,6.315221027875868,13,309.0,0.24138875287908126,13,309.0
165.0,12,214.0,7.379310344827586,6.263831058829082,12,224.0,0.27703817667035596,12,224.0
170.0,14,277.0,8.935483870967742,5.258298823348651,14,277.0,0.23898957592947803,14,277.0
175.0,18,365.0,13.035714285714286,4.283198859117261,18,365.0,0.21249912938856,18,365.0
180.0,15,358.0,12.785714285714286,2.8252053618414656,15,414.0,0.19172722814951784,15,414.0
185.0,12,388.0,11.411764705882353,5.840225041421767,12,409.0,0.32445666323255984,12,409.0
190.0,12,448.0,11.789473684210526,7.754083809403089,12,448.0,0.4075392327339664,12,448.0
195.0,17,517.0,14.36111111111111,6.393618762673515,17,517.0,0.2379507017459965,17,517.0
200.0,18,607.0,17.34285714285714,6.2143961783112855,18,607.0,0.2612241198406247,18,607.0
205.0,13,278.0,8.96774193548387,5.327726952549779,13,528.0,0.27393048078429805,13,528.0
210.0,9,181.0,5.65625,6.526195476939442,9,232.0,0.32911785139807703,9,232.0
215.0,10,224.0,7.466666666666667,5.671756301856596,10,278.0,0.23360824074736247,10,278.0
220.0,14,289.0,7.605263157894737,7.838841913930463,14,340.0,0.44850804151703677,14,340.0
225.0,14,359.0,10.257142857142858,7.339442992162935,14,410.0,0.3890215577112345,14,410.0
230.0,13,151.0,4.194444444444445,4.849540157374246,13,366.0,0.2672510963054892,13,366.0
235.0,14,130.0,4.0625,5.650137714173637,14,245.0,0.28141727782656184,14,245.0
240.0,16,185.0,5.138888888888889,4.895308963246962,16,274.0,0.15999765519822626,16,274.0
245.0,22,285.0,8.382352941176471,4.180543370972388,22,374.0,0.16829629552645592,22,374.0
250.0,17,299.0,8.794117647058824,3.5426637605818345,17,440.0,0.1952866507853693,17,440.0
255.0,16,357.0,9.394736842105264,5.247989123767925,16,468.0,0.2980539432393131,16,468.0
260.0,13,326.0,7.761904761904762,5.484545324106782,13,476.0,0.2950515967979088,13,476.0
