step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.25417915528431,0,0.0,0.9439505452482008,0,0.0
10.0,0,0.0,0.0,11.62952425645422,0,0.0,0.8360950445821144,0,0.0
15.0,4,6.0,0.3333333333333333,6.673946847012302,4,6.0,0.3964438133176261,4,6.0
20.0,9,44.0,2.4444444444444446,6.555172379777429,9,44.0,0.3506775723335422,9,44.0
25.0,7,54.0,2.5714285714285716,4.216120212512946,7,66.0,0.30926345325751076,7,66.0
30.0,11,105.0,5.0,5.848995950716177,11,105.0,0.3198397278144349,11,105.0
35.0,6,73.0,2.92,5.250762109635129,6,115.0,0.27718721356928505,6,115.0
40.0,6,89.0,3.2962962962962963,7.974865437005038,6,102.0,0.514859048215356,6,102.0
45.0,6,119.0,3.838709677419355,9.239406360614801,6,119.0,0.5455358358349042,6,119.0
50.0,5,11.0,0.3793103448275862,6.9172272772440815,5,80.0,0.36240252011981827,5,80.0
55.0,7,32.0,1.1428571428571428,7.409505957427812,7,38.0,0.38970291609391483,7,38.0
60.0,13,82.0,3.28,5.379626290998484,13,88.0,0.21235037900734977,13,88.0
65.0,16,155.0,5.535714285714286,4.0397813670093665,16,161.0,0.2159125451513075,16,161.0
70.0,15,176.0,7.04,3.1773108580306446,15,212.0,0.21073597950283,15,212.0
75.0,20,262.0,7.081081081081081,5.379376561031464,20,268.0,0.3316553942095225,20,268.0
80.0,15,204.0,5.513513513513513,5.752847954109796,15,303.0,0.35758351293781215,15,303.0
85.0,8,131.0,3.358974358974359,5.289637632170743,8,263.0,0.2956126448612017,8,263.0
90.0,10,37.0,0.9487179487179487,5.062971017334598,10,240.0,0.2418404399364731,10,240.0
95.0,14,85.0,2.125,5.205021605999789,14,212.0,0.21542668997699002,14,212.0
100.0,21,176.0,4.631578947368421,5.175109772253777,21,293.0,0.1648123702552902,21,293.0
105.0,19,200.0,5.2631578947368425,4.472505714218935,19,328.0,0.1970517915288584,19,328.0
110.0,10,169.0,4.447368421052632,5.656544621180843,10,274.0,0.2964710029483511,10,274.0
115.0,9,183.0,4.575,8.275779602470827,9,255.0,0.423106766044039,9,255.0
