step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
295.0,42,307.0,1.9806451612903226,7.716842420324376,42,1609.0,0.47814790828193926,42,1609.0
300.0,61,571.0,3.707792207792208,7.27445429696029,61,1870.0,0.4491717266465612,61,1870.0
305.0,63,739.0,4.830065359477124,7.0296298500555325,63,2197.0,0.4422407029893316,63,2197.0
310.0,57,842.0,5.397435897435898,7.143452557568518,57,2202.0,0.463222286377036,57,2202.0
315.0,66,1144.0,7.15,7.20405201458743,66,2504.0,0.4440676359019671,66,2504.0
320.0,72,1493.0,9.048484848484849,7.237194317660814,72,2853.0,0.4235893918739443,72,2853.0
325.0,72,1648.0,9.694117647058823,7.20333211631333,72,3126.0,0.41366007773776187,72,3126.0
330.0,49,923.0,5.335260115606936,7.084951045595585,49,2450.0,0.41996709950442235,49,2450.0
335.0,34,456.0,2.5054945054945055,7.2198409409673,34,2651.0,0.4253630584467559,34,2651.0
340.0,46,506.0,2.663157894736842,7.364597875985639,46,2845.0,0.42910274806966453,46,2845.0
345.0,66,724.0,3.7905759162303663,6.855600802709425,66,3138.0,0.3927838395123835,66,3138.0
350.0,88,1066.0,5.494845360824742,6.668927901735585,88,3436.0,0.38596020975747236,88,3436.0
355.0,92,1305.0,6.590909090909091,6.388694046115532,92,3908.0,0.37273923362557493,92,3908.0
360.0,78,1316.0,6.450980392156863,6.5882759287950465,78,3848.0,0.39834385298004543,78,3848.0
365.0,79,1528.0,7.2075471698113205,6.893340680413351,79,4243.0,0.4132917830152983,79,4243.0
370.0,67,1110.0,5.260663507109005,7.0970053820284935,67,3513.0,0.4444051633923998,67,3513.0
375.0,44,643.0,3.0187793427230045,7.729427617978029,44,3204.0,0.48627080616644813,44,3204.0
380.0,34,302.0,1.411214953271028,7.942372866067071,34,3384.0,0.4877200987377781,34,3384.0
385.0,34,223.0,1.0229357798165137,7.639139019086217,34,3192.0,0.4681713809437078,34,3192.0
390.0,60,429.0,1.9411764705882353,7.145298535395177,60,3344.0,0.420553332206128,60,3344.0
395.0,92,830.0,3.688888888888889,6.839544967546356,92,3750.0,0.3847161938841345,92,3750.0
400.0,107,1330.0,5.732758620689655,6.745405857000129,107,4251.0,0.3687013004021329,107,4251.0
405.0,119,1901.0,7.987394957983193,6.420896664325391,119,4823.0,0.3439820514170378,119,4823.0
410.0,126,2518.0,10.491666666666667,6.158400292438921,126,5440.0,0.33020045451163194,126,5440.0
415.0,133,3171.0,12.995901639344263,5.881758009507727,133,6093.0,0.30141759049296485,133,6093.0
420.0,138,3853.0,15.59919028340081,5.542678601825499,138,6775.0,0.29499549156948696,138,6775.0
425.0,138,4281.0,16.788235294117648,5.666837247408883,138,7483.0,0.32213236405457707,138,7483.0
430.0,113,3666.0,14.376470588235295,5.803261626537892,113,6802.0,0.3544583754004971,113,6802.0
435.0,92,2718.0,10.295454545454545,5.919657702748488,92,7308.0,0.36711613701064094,92,7308.0
440.0,71,1228.0,4.481751824817518,6.04158992852888,71,7052.0,0.37483836609408583,71,7052.0
445.0,65,778.0,2.8394160583941606,6.03825587604768,65,7391.0,0.38022221083546437,65,7391.0
450.0,63,635.0,2.2359154929577465,6.190077363442494,63,6446.0,0.3966751806258208,63,6446.0
455.0,76,770.0,2.6551724137931036,6.2239397933045675,76,6750.0,0.3934627494106774,76,6750.0
460.0,69,754.0,2.538720538720539,6.573443155765971,69,6585.0,0.42063073833150605,69,6585.0
465.0,69,712.0,2.357615894039735,6.601570046785481,69,6922.0,0.4092220992650603,69,6922.0
470.0,94,773.0,2.4775641025641026,6.508306280497714,94,6995.0,0.39600495224538373,94,6995.0
475.0,126,1219.0,3.750769230769231,6.377677607081616,126,7439.0,0.3827958134285508,126,7439.0
480.0,131,1321.0,3.8625730994152048,6.3414602014570125,131,6762.0,0.3863806164909398,131,6762.0
485.0,124,1403.0,3.9971509971509973,6.408160835895855,124,7395.0,0.3824914980694865,124,7395.0
490.0,132,1592.0,4.509915014164306,6.061886678288293,132,7898.0,0.3557079008534293,132,7898.0
495.0,130,1726.0,4.807799442896936,5.822347187441515,130,8562.0,0.33549036276610683,130,8562.0
500.0,117,1267.0,3.5391061452513966,5.579140553772373,117,8436.0,0.3258815875468577,117,8436.0
505.0,109,1308.0,3.5934065934065935,5.8481550818054275,109,8675.0,0.34296923353913694,109,8675.0
510.0,132,1620.0,4.390243902439025,5.77151314495368,132,9280.0,0.33576764462594655,132,9280.0
515.0,162,2167.0,5.763297872340425,5.550131972986855,162,9740.0,0.31326949763717804,162,9740.0
520.0,198,3054.0,7.994764397905759,5.264366935900767,198,10660.0,0.29171376725439013,198,10660.0
525.0,220,4054.0,10.612565445026178,4.849848491483586,220,11619.0,0.26828877393271655,220,11619.0
530.0,241,5222.0,13.458762886597938,4.523045061975563,241,12763.0,0.2514770381139104,241,12763.0
535.0,256,6444.0,16.396946564885496,4.258264607980378,256,14015.0,0.23183237796823616,256,14015.0
540.0,262,7716.0,19.338345864661655,4.254818717663053,262,15170.0,0.23569123617503795,262,15170.0
545.0,269,9029.0,22.349009900990097,4.093796568021768,269,16505.0,0.23229949407396205,269,16505.0
550.0,276,10396.0,25.17191283292978,4.154205222752719,276,17852.0,0.2373329922702745,276,17852.0
555.0,281,11380.0,27.22488038277512,3.9388365501008957,281,19256.0,0.2290447346315997,281,19256.0
560.0,259,10687.0,25.445238095238096,3.926233762429104,259,18497.0,0.2354678101327674,259,18497.0
565.0,251,10367.0,24.45047169811321,3.8113759774241367,251,19761.0,0.23195859600839694,251,19761.0
570.0,260,9958.0,22.839449541284402,3.7098556670052067,260,21035.0,0.22011674425236447,260,21035.0
575.0,261,9390.0,21.006711409395972,3.7542568522008355,261,22228.0,0.2238757706778863,261,22228.0
580.0,241,7147.0,15.707692307692307,3.813442458553341,241,22309.0,0.2317924878815832,241,22309.0
585.0,216,5170.0,11.19047619047619,4.016144146549911,216,22850.0,0.2372781321445154,216,22850.0
