step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.338543436539666,0,0.0,0.9382887088372854,0,0.0
10.0,0,0.0,0.0,11.550652621225561,0,0.0,0.8858486565488235,0,0.0
15.0,2,2.0,0.1111111111111111,5.99967462717772,2,2.0,0.4087112135346992,2,2.0
20.0,10,42.0,2.3333333333333335,5.712315936851889,10,42.0,0.34332433505893817,10,42.0
25.0,9,72.0,3.272727272727273,4.446634541328355,9,72.0,0.25493364788157213,9,72.0
30.0,12,129.0,5.863636363636363,5.078565829094498,12,129.0,0.2880409977248998,12,129.0
35.0,14,195.0,7.5,4.642519704018911,14,195.0,0.2507295675589064,14,195.0
40.0,13,180.0,6.206896551724138,4.556746273352204,13,222.0,0.3102066716616386,13,222.0
45.0,18,258.0,8.0625,5.482119916272708,18,258.0,0.3216088070663922,18,258.0
50.0,16,327.0,9.617647058823529,3.6255279202371833,16,327.0,0.16067553926618341,16,327.0
55.0,24,434.0,12.764705882352942,3.5372659500340977,24,434.0,0.17563955452379354,24,434.0
60.0,18,308.0,9.058823529411764,2.541449887964669,18,458.0,0.07254315009459174,18,458.0
65.0,14,127.0,3.4324324324324325,5.100348745919055,14,388.0,0.2506001527910663,14,388.0
70.0,6,79.0,2.1944444444444446,3.9671866039552697,6,420.0,0.1358818175503029,6,420.0
75.0,12,129.0,2.9318181818181817,5.686310248447746,12,472.0,0.33454326526405187,12,472.0
80.0,18,209.0,4.976190476190476,4.104794129740643,18,552.0,0.23377033366324582,18,552.0
85.0,20,178.0,4.045454545454546,2.6503195603888154,20,584.0,0.19285039466387885,20,584.0
90.0,32,318.0,7.2272727272727275,2.542229688482849,32,661.0,0.08078671747382792,32,661.0
95.0,34,468.0,9.75,2.976066870116714,34,811.0,0.11481591643867992,34,811.0
100.0,36,640.0,13.617021276595745,2.3931520173216954,36,983.0,0.048395922305820814,36,983.0
105.0,32,620.0,13.478260869565217,2.366696273200813,32,1027.0,0.08460491009159088,32,1027.0
110.0,28,460.0,9.019607843137255,3.6775158878370062,28,924.0,0.17319822112450664,28,924.0
115.0,20,300.0,6.0,4.05358801734839,20,984.0,0.1901816818377074,20,984.0
120.0,18,198.0,4.304347826086956,2.488148836999405,18,1082.0,0.1092495634504333,18,1082.0
125.0,24,208.0,4.521739130434782,2.0407130660735104,24,1186.0,0.10702195433532204,24,1186.0
